gateNo,typeAccepted,refuelingCapable,maxCartsAccepted,stationName,,stationName,location,,trainNo,departureTime,arrivalTime,routeStatus,,trainNo,totalLocomotiveCarts,totalTransportCarts,totalPassengerCarts,rdyForUtil,stationName
65711,cargo,No,96,Jennersdorf Station,,Jennersdorf Station,Jennersdorf,,"55,755,768,311.00",19:55,,Early,,"55,755,768,311.00",1,9,4,FALSE,Jennersdorf Station
50102,passenger,Yes,15,Abaetetuba Station,,Abaetetuba Station,Abaetetuba,,"96,180,302,728.00",14:42,,Early,,"96,180,302,728.00",1,14,10,TRUE,Abaetetuba Station
59284,cargo,Yes,88,Dublin Station,,Dublin Station,Dublin,,"31,299,513,696.00",15:42,,Boarding,,"31,299,513,696.00",2,19,15,FALSE,Dublin Station
23052,cargo,Yes,69,Dumai Station,,Dumai Station,Dumai,,"33,921,992,928.00",11:31,,On-Time,,"33,921,992,928.00",1,12,9,FALSE,Dumai Station
30004,passenger,No,31,Hohenems Station,,Hohenems Station,Hohenems,,"78,823,209,972.00",11:09,,On-Time,,"78,823,209,972.00",1,4,13,TRUE,Hohenems Station
92747,passenger,Yes,25,Whitehorse Station,,Whitehorse Station,Whitehorse,,"52,048,560,529.00",20:27,,Scheduled,,"52,048,560,529.00",2,9,7,FALSE,Whitehorse Station
53132,cargo,Yes,47,Miass Station,,Miass Station,Miass,,"69,296,181,185.00",01:29,,Boarding,,"69,296,181,185.00",2,13,2,TRUE,Miass Station
52443,cargo,No,51, Station,, Station,,,"66,038,668,427.00",09:56,,On-Time,,"66,038,668,427.00",0,11,20,TRUE, Station
30762,cargo,Yes,45,Pacasmayo Station,,Pacasmayo Station,Pacasmayo,,"71,537,632,962.00",09:33,,Arrived,,"71,537,632,962.00",0,8,7,TRUE,Pacasmayo Station
91629,passenger,Yes,49,San AndrÃ©s Station,,San AndrÃ©s Station,San AndrÃ©s,,"26,341,194,418.00",00:41,,Boarding,,"26,341,194,418.00",1,8,1,TRUE,San AndrÃ©s Station
78254,cargo,No,50,Waitakere Station,,Waitakere Station,Waitakere,,"43,150,798,682.00",16:40,,Boarding,,"43,150,798,682.00",2,3,19,FALSE,Waitakere Station
75892,passenger,Yes,61,Colombo Station,,Colombo Station,Colombo,,"19,978,133,272.00",22:18,,Early,,"19,978,133,272.00",1,18,1,FALSE,Colombo Station
54081,cargo,Yes,40,Huppaye Station,,Huppaye Station,Huppaye,,"40,571,650,303.00",16:17,,On-Time,,"40,571,650,303.00",1,7,18,TRUE,Huppaye Station
56345,cargo,No,83,General Lagos Station,,General Lagos Station,General Lagos,,"85,750,632,770.00",15:44,,Boarding,,"85,750,632,770.00",1,13,1,FALSE,General Lagos Station
64440,cargo,Yes,21,Arequipa Station,,Arequipa Station,Arequipa,,"53,371,793,463.00",04:08,,Arrived,,"53,371,793,463.00",0,5,2,FALSE,Arequipa Station
38077,cargo,No,86,San Clemente Station,,San Clemente Station,San Clemente,,"2,527,213,426.00",15:44,,Boarding,,"2,527,213,426.00",1,3,10,TRUE,San Clemente Station
46451,passenger,No,92,LogroÃ±o Station,,LogroÃ±o Station,LogroÃ±o,,"2,731,948,077.00",19:06,,Early,,"2,731,948,077.00",2,4,7,TRUE,LogroÃ±o Station
75821,cargo,No,27,Balikpapan Station,,Balikpapan Station,Balikpapan,,"28,559,963,679.00",11:30,,Early,,"28,559,963,679.00",2,7,19,TRUE,Balikpapan Station
76870,cargo,Yes,69,GijÃ³n Station,,GijÃ³n Station,GijÃ³n,,"47,259,155,308.00",05:56,,On-Time,,"47,259,155,308.00",1,7,1,TRUE,GijÃ³n Station
18020,passenger,No,43,GuÃ¡piles Station,,GuÃ¡piles Station,GuÃ¡piles,,"51,531,256,799.00",01:57,,Arrived,,"51,531,256,799.00",1,11,5,FALSE,GuÃ¡piles Station
62930,cargo,No,31,Pondicherry Station,,Pondicherry Station,Pondicherry,,"16,070,113,109.00",06:13,,On-Time,,"16,070,113,109.00",1,7,3,FALSE,Pondicherry Station
24829,cargo,Yes,55,Fort William Station,,Fort William Station,Fort William,,"87,611,220,607.00",07:45,,Scheduled,,"87,611,220,607.00",2,15,7,FALSE,Fort William Station
14329,passenger,Yes,66,Xinjiang Station,,Xinjiang Station,Xinjiang,,"90,598,521,781.00",04:40,,On-Time,,"90,598,521,781.00",1,16,1,TRUE,Xinjiang Station
84632,passenger,No,47,Tver Station,,Tver Station,Tver,,"47,011,309,516.00",20:02,,Arrived,,"47,011,309,516.00",1,13,19,TRUE,Tver Station
48729,cargo,Yes,74,Versailles Station,,Versailles Station,Versailles,,"88,470,544,444.00",06:38,,Boarding,,"88,470,544,444.00",1,1,6,TRUE,Versailles Station
18170,passenger,No,64,Kharmang Station,,Kharmang Station,Kharmang,,"12,613,172,926.00",04:17,,Boarding,,"12,613,172,926.00",1,0,15,TRUE,Kharmang Station
82575,cargo,Yes,61,Barranco Minas Station,,Barranco Minas Station,Barranco Minas,,"48,847,319,400.00",14:07,,Boarding,,"48,847,319,400.00",1,12,15,TRUE,Barranco Minas Station
49786,passenger,No,56,Murmansk Station,,Murmansk Station,Murmansk,,"17,340,077,012.00",03:44,,Early,,"17,340,077,012.00",2,4,5,FALSE,Murmansk Station
13954,cargo,Yes,45,Huaraz Station,,Huaraz Station,Huaraz,,"8,217,297,691.00",06:12,,Boarding,,"8,217,297,691.00",1,3,18,TRUE,Huaraz Station
5217,cargo,Yes,53,Punitaqui Station,,Punitaqui Station,Punitaqui,,"60,800,388,601.00",19:17,,Boarding,,"60,800,388,601.00",2,13,17,FALSE,Punitaqui Station
38542,passenger,No,23,Nieuwegein Station,,Nieuwegein Station,Nieuwegein,,"81,825,930,208.00",04:58,,Early,,"81,825,930,208.00",1,7,7,TRUE,Nieuwegein Station
25014,cargo,No,86,Liverpool Station,,Liverpool Station,Liverpool,,"57,951,237,197.00",19:14,,Arrived,,"57,951,237,197.00",2,7,6,TRUE,Liverpool Station
12681,passenger,Yes,96,Fortaleza Station,,Fortaleza Station,Fortaleza,,"86,655,650,662.00",12:17,,Early,,"86,655,650,662.00",1,6,16,TRUE,Fortaleza Station
5812,passenger,No,38,Camaragibe Station,,Camaragibe Station,Camaragibe,,"56,788,799,336.00",15:46,,On-Time,,"56,788,799,336.00",0,4,16,TRUE,Camaragibe Station
4175,passenger,No,52,Burhaniye Station,,Burhaniye Station,Burhaniye,,"4,659,952,890.00",10:15,,Arrived,,"4,659,952,890.00",0,1,9,TRUE,Burhaniye Station
77255,cargo,Yes,12,Moose Jaw Station,,Moose Jaw Station,Moose Jaw,,"18,015,716,046.00",16:42,,Arrived,,"18,015,716,046.00",1,18,10,TRUE,Moose Jaw Station
60912,passenger,Yes,69,Fort Wayne Station,,Fort Wayne Station,Fort Wayne,,"43,528,063,761.00",18:04,,Boarding,,"43,528,063,761.00",0,2,9,FALSE,Fort Wayne Station
47427,cargo,Yes,27,Burin Station,,Burin Station,Burin,,"93,345,627,536.00",06:54,,Scheduled,,"93,345,627,536.00",1,2,11,TRUE,Burin Station
13058,passenger,No,50,Campinas Station,,Campinas Station,Campinas,,"9,996,013,835.00",23:52,,Boarding,,"9,996,013,835.00",0,11,11,FALSE,Campinas Station
3015,cargo,No,41,AydÄ±n Station,,AydÄ±n Station,AydÄ±n,,"9,235,664,348.00",23:56,,On-Time,,"9,235,664,348.00",2,0,17,FALSE,AydÄ±n Station
37017,passenger,Yes,43,Colomiers Station,,Colomiers Station,Colomiers,,"76,635,576,763.00",21:03,,Scheduled,,"76,635,576,763.00",1,17,0,TRUE,Colomiers Station
19064,cargo,Yes,42,TarnÃ³w Station,,TarnÃ³w Station,TarnÃ³w,,"96,687,412,226.00",13:45,,On-Time,,"96,687,412,226.00",1,8,20,FALSE,TarnÃ³w Station
19126,cargo,No,67,Santa Maria Station,,Santa Maria Station,Santa Maria,,"73,834,380,382.00",04:13,,On-Time,,"73,834,380,382.00",1,0,5,TRUE,Santa Maria Station
16787,cargo,Yes,16,Khandwa Station,,Khandwa Station,Khandwa,,"6,361,331,256.00",18:35,,Scheduled,,"6,361,331,256.00",0,6,12,TRUE,Khandwa Station
98613,cargo,Yes,62,KungÃ¤lv Station,,KungÃ¤lv Station,KungÃ¤lv,,"26,989,072,399.00",04:54,,Boarding,,"26,989,072,399.00",1,8,8,TRUE,KungÃ¤lv Station
76137,cargo,No,96,AlingsÃ¥s Station,,AlingsÃ¥s Station,AlingsÃ¥s,,"45,509,634,226.00",06:16,,On-Time,,"45,509,634,226.00",1,18,0,TRUE,AlingsÃ¥s Station
97909,passenger,No,20,Rionegro Station,,Rionegro Station,Rionegro,,"82,396,131,981.00",16:33,,On-Time,,"82,396,131,981.00",2,16,0,FALSE,Rionegro Station
26707,passenger,No,29,Aizwal Station,,Aizwal Station,Aizwal,,"25,557,152,985.00",17:06,,Boarding,,"25,557,152,985.00",2,19,16,TRUE,Aizwal Station
45226,cargo,No,22,Salerno Station,,Salerno Station,Salerno,,"54,554,829,269.00",06:51,,Scheduled,,"54,554,829,269.00",0,6,10,TRUE,Salerno Station
50935,cargo,Yes,86,Pitlochry Station,,Pitlochry Station,Pitlochry,,"53,856,014,611.00",02:03,,Early,,"53,856,014,611.00",1,19,7,FALSE,Pitlochry Station
66944,passenger,No,72,SÃ¬n Há»“ Station,,SÃ¬n Há»“ Station,SÃ¬n Há»“,,"91,121,617,941.00",08:48,,On-Time,,"91,121,617,941.00",0,2,12,FALSE,SÃ¬n Há»“ Station
1347,passenger,No,16,Canberra Station,,Canberra Station,Canberra,,"18,721,139,786.00",05:20,,Boarding,,"18,721,139,786.00",2,2,3,FALSE,Canberra Station
8212,passenger,No,83,Tyumen Station,,Tyumen Station,Tyumen,,"97,170,700,528.00",16:03,,Scheduled,,"97,170,700,528.00",1,4,8,FALSE,Tyumen Station
54140,cargo,No,68,Orhangazi Station,,Orhangazi Station,Orhangazi,,"481,459,348.00",19:24,,Scheduled,,"481,459,348.00",0,1,12,FALSE,Orhangazi Station
72145,passenger,No,29,Oaxaca Station,,Oaxaca Station,Oaxaca,,"11,420,096,366.00",01:04,,Scheduled,,"11,420,096,366.00",1,17,16,TRUE,Oaxaca Station
26497,passenger,Yes,83,Pamplona Station,,Pamplona Station,Pamplona,,"57,147,331,293.00",08:42,,On-Time,,"57,147,331,293.00",2,11,11,TRUE,Pamplona Station
43967,passenger,No,32,Anderlecht Station,,Anderlecht Station,Anderlecht,,"95,586,712,472.00",19:12,,Boarding,,"95,586,712,472.00",1,9,5,TRUE,Anderlecht Station
19570,passenger,No,45,Banda Aceh Station,,Banda Aceh Station,Banda Aceh,,"41,105,494,996.00",02:00,,Arrived,,"41,105,494,996.00",1,17,13,FALSE,Banda Aceh Station
21875,cargo,No,90,Siquirres Station,,Siquirres Station,Siquirres,,"36,670,842,779.00",22:31,,Arrived,,"36,670,842,779.00",1,8,8,FALSE,Siquirres Station
39881,passenger,Yes,54,Sonipat Station,,Sonipat Station,Sonipat,,"29,213,838,117.00",04:31,,Boarding,,"29,213,838,117.00",0,4,1,FALSE,Sonipat Station
90218,passenger,Yes,17,Drachten Station,,Drachten Station,Drachten,,"73,488,423,661.00",10:01,,Boarding,,"73,488,423,661.00",0,8,1,FALSE,Drachten Station
43145,passenger,Yes,19,Sint-Joost-ten-Node Station,,Sint-Joost-ten-Node Station,Sint-Joost-ten-Node,,"8,751,370,422.00",10:42,,Early,,"8,751,370,422.00",1,14,0,TRUE,Sint-Joost-ten-Node Station
35717,passenger,No,38,KÄ™dzierzyn-KoÅºle Station,,KÄ™dzierzyn-KoÅºle Station,KÄ™dzierzyn-KoÅºle,,"72,954,459,854.00",16:52,,On-Time,,"72,954,459,854.00",2,1,11,FALSE,KÄ™dzierzyn-KoÅºle Station
15095,cargo,No,57,Kielce Station,,Kielce Station,Kielce,,"15,113,593,859.00",21:28,,Boarding,,"15,113,593,859.00",0,4,6,TRUE,Kielce Station
17736,cargo,Yes,79,Brisbane Station,,Brisbane Station,Brisbane,,"9,731,795,031.00",00:18,,On-Time,,"9,731,795,031.00",1,5,6,TRUE,Brisbane Station
17600,cargo,Yes,22,Oviedo Station,,Oviedo Station,Oviedo,,"99,963,454,095.00",03:37,,Early,,"99,963,454,095.00",1,17,16,FALSE,Oviedo Station
11479,cargo,No,72,Kumluca Station,,Kumluca Station,Kumluca,,"55,190,967,348.00",02:21,,Early,,"55,190,967,348.00",0,9,17,TRUE,Kumluca Station
84337,passenger,No,86,Palembang Station,,Palembang Station,Palembang,,"96,321,379,172.00",01:47,,On-Time,,"96,321,379,172.00",1,8,18,FALSE,Palembang Station
20191,passenger,Yes,56,Kano Station,,Kano Station,Kano,,"35,916,190,701.00",13:43,,Boarding,,"35,916,190,701.00",1,20,4,TRUE,Kano Station
1681,passenger,Yes,64,Igboho Station,,Igboho Station,Igboho,,"49,384,201,521.00",10:39,,Scheduled,,"49,384,201,521.00",0,8,15,TRUE,Igboho Station
32809,passenger,No,23,Peralillo Station,,Peralillo Station,Peralillo,,"28,784,868,230.00",14:21,,Boarding,,"28,784,868,230.00",1,17,16,TRUE,Peralillo Station
87453,passenger,No,94,Houston Station,,Houston Station,Houston,,"82,557,389,950.00",21:07,,Boarding,,"82,557,389,950.00",1,4,1,TRUE,Houston Station
8332,cargo,Yes,24,ValparaÃ­so de GoiÃ¡s Station,,ValparaÃ­so de GoiÃ¡s Station,ValparaÃ­so de GoiÃ¡s,,"29,040,410,439.00",13:39,,Boarding,,"29,040,410,439.00",1,8,6,FALSE,ValparaÃ­so de GoiÃ¡s Station
79732,cargo,No,78,Shimla Station,,Shimla Station,Shimla,,"80,095,301,208.00",10:27,,Arrived,,"80,095,301,208.00",1,7,5,TRUE,Shimla Station
54529,passenger,No,96,San Luis RÃ­o Colorado Station,,San Luis RÃ­o Colorado Station,San Luis RÃ­o Colorado,,"11,933,889,723.00",10:48,,On-Time,,"11,933,889,723.00",2,19,1,FALSE,San Luis RÃ­o Colorado Station
25886,cargo,Yes,92,Tarakan Station,,Tarakan Station,Tarakan,,"43,885,702,541.00",18:28,,Early,,"43,885,702,541.00",1,14,12,FALSE,Tarakan Station
80115,passenger,Yes,53,Limoges Station,,Limoges Station,Limoges,,"46,045,344,954.00",23:23,,Early,,"46,045,344,954.00",1,4,11,FALSE,Limoges Station
94578,cargo,Yes,70,Novgorod Station,,Novgorod Station,Novgorod,,"31,788,129,207.00",06:06,,On-Time,,"31,788,129,207.00",0,16,16,TRUE,Novgorod Station
18055,cargo,No,12,Dalbeattie Station,,Dalbeattie Station,Dalbeattie,,"22,179,396,747.00",06:10,,On-Time,,"22,179,396,747.00",1,14,5,FALSE,Dalbeattie Station
63224,cargo,Yes,13,Hyderabad Station,,Hyderabad Station,Hyderabad,,"13,871,728,327.00",18:02,,Arrived,,"13,871,728,327.00",1,8,18,TRUE,Hyderabad Station
59617,passenger,No,72,Glendale Station,,Glendale Station,Glendale,,"30,136,666,230.00",13:05,,On-Time,,"30,136,666,230.00",1,15,1,FALSE,Glendale Station
14425,passenger,Yes,10,Guarapuava Station,,Guarapuava Station,Guarapuava,,"48,646,623,338.00",10:23,,Early,,"48,646,623,338.00",2,5,11,TRUE,Guarapuava Station
27414,passenger,No,13,Madrid Station,,Madrid Station,Madrid,,"54,520,864,395.00",19:06,,Boarding,,"54,520,864,395.00",0,19,5,FALSE,Madrid Station
77370,passenger,No,71,Gongju Station,,Gongju Station,Gongju,,"13,539,795,930.00",22:59,,Boarding,,"13,539,795,930.00",1,4,7,TRUE,Gongju Station
53737,cargo,Yes,75,Iksan Station,,Iksan Station,Iksan,,"73,747,212,602.00",21:09,,Scheduled,,"73,747,212,602.00",1,15,9,FALSE,Iksan Station
64800,cargo,No,66,Brahmapur Station,,Brahmapur Station,Brahmapur,,"99,194,295,304.00",12:00,,Early,,"99,194,295,304.00",1,1,11,TRUE,Brahmapur Station
26449,cargo,No,59,Mapiripana Station,,Mapiripana Station,Mapiripana,,"80,992,421,668.00",09:36,,Early,,"80,992,421,668.00",1,19,14,FALSE,Mapiripana Station
33374,cargo,Yes,26,Chihuahua Station,,Chihuahua Station,Chihuahua,,"82,560,310,119.00",08:02,,Early,,"82,560,310,119.00",1,8,1,TRUE,Chihuahua Station
77201,passenger,No,29,LimÃ³n (Puerto LimÃ³n] Station,,LimÃ³n (Puerto LimÃ³n] Station,LimÃ³n (Puerto LimÃ³n],,"67,710,259,644.00",13:52,,Early,,"67,710,259,644.00",0,3,2,TRUE,LimÃ³n (Puerto LimÃ³n] Station
5828,passenger,No,27,Pangnirtung Station,,Pangnirtung Station,Pangnirtung,,"50,103,974,795.00",08:31,,Boarding,,"50,103,974,795.00",2,11,1,FALSE,Pangnirtung Station
66498,passenger,Yes,12,Huara Station,,Huara Station,Huara,,"87,185,672,564.00",00:44,,Scheduled,,"87,185,672,564.00",1,19,1,FALSE,Huara Station
11280,cargo,Yes,75,Sandviken Station,,Sandviken Station,Sandviken,,"36,800,524,346.00",01:22,,Boarding,,"36,800,524,346.00",2,2,11,TRUE,Sandviken Station
82706,cargo,No,24,Jambi Station,,Jambi Station,Jambi,,"77,620,618,362.00",23:09,,Arrived,,"77,620,618,362.00",0,7,15,FALSE,Jambi Station
99791,passenger,No,59,Silchar Station,,Silchar Station,Silchar,,"94,041,660,810.00",23:10,,Boarding,,"94,041,660,810.00",1,16,2,TRUE,Silchar Station
83895,cargo,Yes,52,Uyo Station,,Uyo Station,Uyo,,"47,172,256,997.00",05:05,,Boarding,,"47,172,256,997.00",0,17,9,TRUE,Uyo Station
20746,cargo,Yes,12,Queanbeyan Station,,Queanbeyan Station,Queanbeyan,,"76,158,032,367.00",22:03,,On-Time,,"76,158,032,367.00",1,10,0,FALSE,Queanbeyan Station
7501,cargo,Yes,11,AltmÃ¼nster Station,,AltmÃ¼nster Station,AltmÃ¼nster,,"57,939,953,548.00",16:40,,Scheduled,,"57,939,953,548.00",0,18,3,FALSE,AltmÃ¼nster Station
13654,cargo,No,41,Tambov Station,,Tambov Station,Tambov,,"76,356,001,784.00",04:19,,Early,,"76,356,001,784.00",1,5,4,FALSE,Tambov Station
97388,passenger,Yes,77,Palu Station,,Palu Station,Palu,,"99,935,580,597.00",15:26,,Early,,"99,935,580,597.00",0,12,16,TRUE,Palu Station
9594,passenger,Yes,74,Pontevedra Station,,Pontevedra Station,Pontevedra,,"38,697,897,894.00",18:39,,Early,,"38,697,897,894.00",1,12,19,FALSE,Pontevedra Station
33172,cargo,No,66,Huáº¿ Station,,Huáº¿ Station,Huáº¿,,"75,235,834,498.00",07:59,,Boarding,,"75,235,834,498.00",2,16,8,FALSE,Huáº¿ Station
3686,cargo,No,79,Lytkarino Station,,Lytkarino Station,Lytkarino,,"12,974,063,961.00",02:36,,Early,,"12,974,063,961.00",1,5,14,TRUE,Lytkarino Station
91729,cargo,No,50,Pachuca Station,,Pachuca Station,Pachuca,,"52,078,891,490.00",22:41,,Scheduled,,"52,078,891,490.00",1,13,6,FALSE,Pachuca Station
57495,passenger,Yes,39,Maiduguri Station,,Maiduguri Station,Maiduguri,,"447,282,062.00",08:30,,Boarding,,"447,282,062.00",2,10,6,TRUE,Maiduguri Station
82490,cargo,Yes,91,Balfour Station,,Balfour Station,Balfour,,"99,610,299,506.00",03:01,,Boarding,,"99,610,299,506.00",1,7,2,TRUE,Balfour Station
6192,passenger,No,79,Perth Station,,Perth Station,Perth,,"60,327,351,877.00",12:40,,Boarding,,"60,327,351,877.00",1,13,17,TRUE,Perth Station
89907,passenger,Yes,37,Thuáº­n ChÃ¢u Station,,Thuáº­n ChÃ¢u Station,Thuáº­n ChÃ¢u,,"71,040,926,760.00",19:33,,On-Time,,"71,040,926,760.00",1,2,15,TRUE,Thuáº­n ChÃ¢u Station
61072,passenger,Yes,59,DiyarbakÄ±r Station,,DiyarbakÄ±r Station,DiyarbakÄ±r,,"52,299,945,318.00",07:37,,Early,,"52,299,945,318.00",1,13,7,FALSE,DiyarbakÄ±r Station
52775,cargo,Yes,18,Chancay Station,,Chancay Station,Chancay,,"12,015,198,755.00",20:33,,Early,,"12,015,198,755.00",0,11,19,FALSE,Chancay Station
29388,passenger,No,34,Coatzacoalcos Station,,Coatzacoalcos Station,Coatzacoalcos,,"94,644,890,053.00",07:08,,Boarding,,"94,644,890,053.00",1,9,1,FALSE,Coatzacoalcos Station
44627,passenger,No,95,Pica Station,,Pica Station,Pica,,"30,780,939,658.00",04:19,,Arrived,,"30,780,939,658.00",1,8,9,FALSE,Pica Station
27630,cargo,Yes,48,Pishin Valley Station,,Pishin Valley Station,Pishin Valley,,"92,435,653,580.00",09:21,,Boarding,,"92,435,653,580.00",2,14,3,TRUE,Pishin Valley Station
